condition,configured_budget,method,seed,target,first_hit_in_this_trace,right_censored,censor_at
reference,8,Random,0,0.99,,True,8
reference,8,Random,1,0.95,,True,8
reference,8,Random,1,0.99,,True,8
reference,8,Random,2,0.95,,True,8
reference,8,Random,2,0.99,,True,8
reference,8,Random,3,0.95,,True,8
reference,8,Random,3,0.99,,True,8
reference,8,Random,4,0.95,,True,8
reference,8,Random,4,0.99,,True,8
reference,8,Random,5,0.95,,True,8
reference,8,Random,5,0.99,,True,8
reference,8,Random,6,0.95,,True,8
reference,8,Random,6,0.99,,True,8
reference,8,Random,7,0.95,,True,8
reference,8,Random,7,0.99,,True,8
reference,8,Random,8,0.95,,True,8
reference,8,Random,8,0.99,,True,8
reference,8,Random,9,0.95,,True,8
reference,8,Random,9,0.99,,True,8
reference,8,Random,10,0.95,,True,8
reference,8,Random,10,0.99,,True,8
reference,8,Random,11,0.95,,True,8
reference,8,Random,11,0.99,,True,8
reference,8,Greedy,0,0.95,,True,8
reference,8,Greedy,0,0.99,,True,8
reference,8,Greedy,1,0.95,,True,8
reference,8,Greedy,1,0.99,,True,8
reference,8,Greedy,2,0.95,,True,8
reference,8,Greedy,2,0.99,,True,8
reference,8,Greedy,3,0.95,,True,8
reference,8,Greedy,3,0.99,,True,8
reference,8,Greedy,4,0.95,,True,8
reference,8,Greedy,4,0.99,,True,8
reference,8,Greedy,5,0.95,,True,8
reference,8,Greedy,5,0.99,,True,8
reference,8,Greedy,6,0.95,,True,8
reference,8,Greedy,6,0.99,,True,8
reference,8,Greedy,7,0.95,,True,8
reference,8,Greedy,7,0.99,,True,8
reference,8,Greedy,8,0.95,,True,8
reference,8,Greedy,8,0.99,,True,8
reference,8,Greedy,9,0.95,,True,8
reference,8,Greedy,9,0.99,,True,8
reference,8,Greedy,10,0.95,,True,8
reference,8,Greedy,10,0.99,,True,8
reference,8,Greedy,11,0.95,3,False,
reference,8,Greedy,11,0.99,,True,8
reference,8,LLM-Open,0,0.95,5,False,
reference,8,LLM-Open,0,0.99,,True,8
reference,8,LLM-Open,1,0.95,8,False,
reference,8,LLM-Open,1,0.99,,True,8
reference,8,LLM-Open,2,0.95,,True,8
reference,8,LLM-Open,2,0.99,,True,8
reference,8,LLM-Open,3,0.95,,True,8
reference,8,LLM-Open,3,0.99,,True,8
reference,8,LLM-Open,4,0.95,8,False,
reference,8,LLM-Open,4,0.99,,True,8
reference,8,LLM-Open,5,0.95,8,False,
reference,8,LLM-Open,5,0.99,,True,8
reference,8,LLM-Open,6,0.95,2,False,
reference,8,LLM-Open,6,0.99,,True,8
reference,8,LLM-Open,7,0.95,8,False,
reference,8,LLM-Open,7,0.99,,True,8
reference,8,LLM-Open,8,0.95,5,False,
reference,8,LLM-Open,8,0.99,,True,8
reference,8,LLM-Open,9,0.95,8,False,
reference,8,LLM-Open,9,0.99,,True,8
reference,8,LLM-Open,10,0.95,8,False,
reference,8,LLM-Open,10,0.99,,True,8
reference,8,LLM-Open,11,0.95,2,False,
reference,8,LLM-Open,11,0.99,,True,8
reference,8,LLM-Closed,0,0.95,1,False,
reference,8,LLM-Closed,0,0.99,,True,8
reference,8,LLM-Closed,1,0.95,2,False,
reference,8,LLM-Closed,1,0.99,,True,8
reference,8,LLM-Closed,2,0.95,6,False,
reference,8,LLM-Closed,2,0.99,,True,8
reference,8,LLM-Closed,3,0.95,5,False,
reference,8,LLM-Closed,3,0.99,,True,8
reference,8,LLM-Closed,4,0.95,2,False,
reference,8,LLM-Closed,4,0.99,,True,8
reference,8,LLM-Closed,5,0.95,2,False,
reference,8,LLM-Closed,5,0.99,,True,8
reference,8,LLM-Closed,6,0.95,1,False,
reference,8,LLM-Closed,6,0.99,,True,8
reference,8,LLM-Closed,7,0.95,3,False,
reference,8,LLM-Closed,7,0.99,,True,8
reference,8,LLM-Closed,8,0.95,1,False,
reference,8,LLM-Closed,8,0.99,,True,8
reference,8,LLM-Closed,9,0.95,3,False,
reference,8,LLM-Closed,9,0.99,,True,8
reference,8,LLM-Closed,10,0.95,2,False,
reference,8,LLM-Closed,10,0.99,,True,8
reference,8,LLM-Closed,11,0.95,1,False,
reference,8,LLM-Closed,11,0.99,,True,8
budget_b16,16,Random,0,0.95,7,False,
budget_b16,16,Random,0,0.99,,True,16
budget_b16,16,Random,1,0.95,,True,16
budget_b16,16,Random,1,0.99,,True,16
budget_b16,16,Random,2,0.95,,True,16
budget_b16,16,Random,2,0.99,,True,16
budget_b16,16,Random,3,0.95,,True,16
budget_b16,16,Random,3,0.99,,True,16
budget_b16,16,Random,4,0.95,,True,16
budget_b16,16,Random,4,0.99,,True,16
budget_b16,16,Random,5,0.95,,True,16
budget_b16,16,Random,5,0.99,,True,16
budget_b16,16,Random,6,0.95,,True,16
budget_b16,16,Random,6,0.99,,True,16
budget_b16,16,Random,7,0.95,,True,16
budget_b16,16,Random,7,0.99,,True,16
budget_b16,16,Random,8,0.95,12,False,
budget_b16,16,Random,8,0.99,,True,16
budget_b16,16,Random,9,0.95,,True,16
budget_b16,16,Random,9,0.99,,True,16
budget_b16,16,Random,10,0.95,,True,16
budget_b16,16,Random,10,0.99,,True,16
budget_b16,16,Random,11,0.95,,True,16
budget_b16,16,Random,11,0.99,,True,16
budget_b16,16,Greedy,0,0.95,12,False,
budget_b16,16,Greedy,0,0.99,,True,16
budget_b16,16,Greedy,1,0.95,,True,16
budget_b16,16,Greedy,1,0.99,,True,16
budget_b16,16,Greedy,2,0.95,,True,16
budget_b16,16,Greedy,2,0.99,,True,16
budget_b16,16,Greedy,3,0.95,,True,16
budget_b16,16,Greedy,3,0.99,,True,16
budget_b16,16,Greedy,4,0.95,,True,16
budget_b16,16,Greedy,4,0.99,,True,16
budget_b16,16,Greedy,5,0.95,,True,16
budget_b16,16,Greedy,5,0.99,,True,16
budget_b16,16,Greedy,6,0.95,,True,16
budget_b16,16,Greedy,6,0.99,,True,16
budget_b16,16,Greedy,7,0.95,,True,16
budget_b16,16,Greedy,7,0.99,,True,16
budget_b16,16,Greedy,8,0.95,16,False,
budget_b16,16,Greedy,8,0.99,,True,16
budget_b16,16,Greedy,9,0.95,,True,16
budget_b16,16,Greedy,9,0.99,,True,16
budget_b16,16,Greedy,10,0.95,,True,16
budget_b16,16,Greedy,10,0.99,,True,16
budget_b16,16,Greedy,11,0.95,3,False,
budget_b16,16,Greedy,11,0.99,,True,16
budget_b16,16,LLM-Open,0,0.95,3,False,
budget_b16,16,LLM-Open,0,0.99,,True,16
budget_b16,16,LLM-Open,1,0.95,3,False,
budget_b16,16,LLM-Open,1,0.99,,True,16
budget_b16,16,LLM-Open,2,0.95,3,False,
budget_b16,16,LLM-Open,2,0.99,,True,16
budget_b16,16,LLM-Open,3,0.95,3,False,
budget_b16,16,LLM-Open,3,0.99,,True,16
budget_b16,16,LLM-Open,4,0.95,3,False,
budget_b16,16,LLM-Open,4,0.99,,True,16
budget_b16,16,LLM-Open,5,0.95,3,False,
budget_b16,16,LLM-Open,5,0.99,,True,16
budget_b16,16,LLM-Open,6,0.95,2,False,
budget_b16,16,LLM-Open,6,0.99,,True,16
budget_b16,16,LLM-Open,7,0.95,3,False,
budget_b16,16,LLM-Open,7,0.99,,True,16
budget_b16,16,LLM-Open,8,0.95,3,False,
budget_b16,16,LLM-Open,8,0.99,,True,16
budget_b16,16,LLM-Open,9,0.95,3,False,
budget_b16,16,LLM-Open,9,0.99,,True,16
budget_b16,16,LLM-Open,10,0.95,3,False,
budget_b16,16,LLM-Open,10,0.99,,True,16
budget_b16,16,LLM-Open,11,0.95,2,False,
budget_b16,16,LLM-Open,11,0.99,,True,16
budget_b16,16,LLM-Closed,0,0.95,1,False,
budget_b16,16,LLM-Closed,0,0.99,,True,16
budget_b16,16,LLM-Closed,1,0.95,7,False,
budget_b16,16,LLM-Closed,1,0.99,,True,16
budget_b16,16,LLM-Closed,2,0.95,11,False,
budget_b16,16,LLM-Closed,2,0.99,,True,16
budget_b16,16,LLM-Closed,3,0.95,,True,16
budget_b16,16,LLM-Closed,3,0.99,,True,16
budget_b16,16,LLM-Closed,4,0.95,1,False,
budget_b16,16,LLM-Closed,4,0.99,,True,16
budget_b16,16,LLM-Closed,5,0.95,1,False,
budget_b16,16,LLM-Closed,5,0.99,,True,16
budget_b16,16,LLM-Closed,6,0.95,8,False,
budget_b16,16,LLM-Closed,6,0.99,,True,16
budget_b16,16,LLM-Closed,7,0.95,1,False,
budget_b16,16,LLM-Closed,7,0.99,,True,16
budget_b16,16,LLM-Closed,8,0.95,4,False,
budget_b16,16,LLM-Closed,8,0.99,,True,16
budget_b16,16,LLM-Closed,9,0.95,1,False,
budget_b16,16,LLM-Closed,9,0.99,,True,16
budget_b16,16,LLM-Closed,10,0.95,1,False,
budget_b16,16,LLM-Closed,10,0.99,,True,16
budget_b16,16,LLM-Closed,11,0.95,9,False,
budget_b16,16,LLM-Closed,11,0.99,,True,16
qubits_n6,8,Random,0,0.95,,True,8
qubits_n6,8,Random,0,0.99,,True,8
qubits_n6,8,Random,1,0.95,,True,8
qubits_n6,8,Random,1,0.99,,True,8
qubits_n6,8,Random,2,0.95,,True,8
qubits_n6,8,Random,2,0.99,,True,8
qubits_n6,8,Random,3,0.95,,True,8
qubits_n6,8,Random,3,0.99,,True,8
qubits_n6,8,Random,4,0.95,,True,8
qubits_n6,8,Random,4,0.99,,True,8
qubits_n6,8,Random,5,0.95,,True,8
qubits_n6,8,Random,5,0.99,,True,8
qubits_n6,8,Random,6,0.95,,True,8
qubits_n6,8,Random,6,0.99,,True,8
qubits_n6,8,Random,7,0.95,,True,8
qubits_n6,8,Random,7,0.99,,True,8
qubits_n6,8,Random,8,0.95,,True,8
qubits_n6,8,Random,8,0.99,,True,8
qubits_n6,8,Random,9,0.95,,True,8
qubits_n6,8,Random,9,0.99,,True,8
qubits_n6,8,Random,10,0.95,,True,8
qubits_n6,8,Random,10,0.99,,True,8
qubits_n6,8,Random,11,0.95,,True,8
qubits_n6,8,Random,11,0.99,,True,8
qubits_n6,8,Greedy,0,0.95,,True,8
qubits_n6,8,Greedy,0,0.99,,True,8
qubits_n6,8,Greedy,1,0.95,,True,8
qubits_n6,8,Greedy,1,0.99,,True,8
qubits_n6,8,Greedy,2,0.95,,True,8
qubits_n6,8,Greedy,2,0.99,,True,8
qubits_n6,8,Greedy,3,0.95,,True,8
qubits_n6,8,Greedy,3,0.99,,True,8
qubits_n6,8,Greedy,4,0.95,,True,8
qubits_n6,8,Greedy,4,0.99,,True,8
qubits_n6,8,Greedy,5,0.95,,True,8
qubits_n6,8,Greedy,5,0.99,,True,8
qubits_n6,8,Greedy,6,0.95,,True,8
qubits_n6,8,Greedy,6,0.99,,True,8
qubits_n6,8,Greedy,7,0.95,,True,8
qubits_n6,8,Greedy,7,0.99,,True,8
qubits_n6,8,Greedy,8,0.95,,True,8
qubits_n6,8,Greedy,8,0.99,,True,8
qubits_n6,8,Greedy,9,0.95,,True,8
qubits_n6,8,Greedy,9,0.99,,True,8
qubits_n6,8,Greedy,10,0.95,,True,8
qubits_n6,8,Greedy,10,0.99,,True,8
qubits_n6,8,Greedy,11,0.95,,True,8
qubits_n6,8,Greedy,11,0.99,,True,8
qubits_n6,8,LLM-Open,0,0.95,,True,8
qubits_n6,8,LLM-Open,0,0.99,,True,8
qubits_n6,8,LLM-Open,1,0.95,,True,8
qubits_n6,8,LLM-Open,1,0.99,,True,8
qubits_n6,8,LLM-Open,2,0.95,,True,8
qubits_n6,8,LLM-Open,2,0.99,,True,8
qubits_n6,8,LLM-Open,3,0.95,,True,8
qubits_n6,8,LLM-Open,3,0.99,,True,8
qubits_n6,8,LLM-Open,4,0.95,,True,8
qubits_n6,8,LLM-Open,4,0.99,,True,8
qubits_n6,8,LLM-Open,5,0.95,,True,8
qubits_n6,8,LLM-Open,5,0.99,,True,8
qubits_n6,8,LLM-Open,6,0.95,4,False,
qubits_n6,8,LLM-Open,6,0.99,,True,8
qubits_n6,8,LLM-Open,7,0.95,,True,8
qubits_n6,8,LLM-Open,7,0.99,,True,8
qubits_n6,8,LLM-Open,8,0.95,,True,8
qubits_n6,8,LLM-Open,8,0.99,,True,8
qubits_n6,8,LLM-Open,9,0.95,,True,8
qubits_n6,8,LLM-Open,9,0.99,,True,8
qubits_n6,8,LLM-Open,10,0.95,,True,8
qubits_n6,8,LLM-Open,10,0.99,,True,8
qubits_n6,8,LLM-Open,11,0.95,4,False,
qubits_n6,8,LLM-Open,11,0.99,,True,8
qubits_n6,8,LLM-Closed,0,0.95,,True,8
qubits_n6,8,LLM-Closed,0,0.99,,True,8
qubits_n6,8,LLM-Closed,1,0.95,,True,8
qubits_n6,8,LLM-Closed,1,0.99,,True,8
qubits_n6,8,LLM-Closed,2,0.95,,True,8
qubits_n6,8,LLM-Closed,2,0.99,,True,8
qubits_n6,8,LLM-Closed,3,0.95,,True,8
qubits_n6,8,LLM-Closed,3,0.99,,True,8
qubits_n6,8,LLM-Closed,4,0.95,,True,8
qubits_n6,8,LLM-Closed,4,0.99,,True,8
qubits_n6,8,LLM-Closed,5,0.95,,True,8
qubits_n6,8,LLM-Closed,5,0.99,,True,8
qubits_n6,8,LLM-Closed,6,0.95,,True,8
qubits_n6,8,LLM-Closed,6,0.99,,True,8
qubits_n6,8,LLM-Closed,7,0.95,,True,8
qubits_n6,8,LLM-Closed,7,0.99,,True,8
qubits_n6,8,LLM-Closed,8,0.95,,True,8
qubits_n6,8,LLM-Closed,8,0.99,,True,8
qubits_n6,8,LLM-Closed,9,0.95,,True,8
qubits_n6,8,LLM-Closed,9,0.99,,True,8
qubits_n6,8,LLM-Closed,10,0.95,,True,8
qubits_n6,8,LLM-Closed,10,0.99,,True,8
qubits_n6,8,LLM-Closed,11,0.95,,True,8
qubits_n6,8,LLM-Closed,11,0.99,,True,8
qubits_n8,8,Random,0,0.95,,True,8
qubits_n8,8,Random,0,0.99,,True,8
qubits_n8,8,Random,1,0.95,,True,8
qubits_n8,8,Random,1,0.99,,True,8
qubits_n8,8,Random,2,0.95,,True,8
qubits_n8,8,Random,2,0.99,,True,8
qubits_n8,8,Random,3,0.95,,True,8
qubits_n8,8,Random,3,0.99,,True,8
qubits_n8,8,Random,4,0.95,,True,8
qubits_n8,8,Random,4,0.99,,True,8
qubits_n8,8,Random,5,0.95,,True,8
qubits_n8,8,Random,5,0.99,,True,8
qubits_n8,8,Random,6,0.95,,True,8
qubits_n8,8,Random,6,0.99,,True,8
qubits_n8,8,Random,7,0.95,,True,8
qubits_n8,8,Random,7,0.99,,True,8
qubits_n8,8,Random,8,0.95,,True,8
qubits_n8,8,Random,8,0.99,,True,8
qubits_n8,8,Random,9,0.95,,True,8
qubits_n8,8,Random,9,0.99,,True,8
qubits_n8,8,Random,10,0.95,,True,8
qubits_n8,8,Random,10,0.99,,True,8
qubits_n8,8,Random,11,0.95,,True,8
qubits_n8,8,Random,11,0.99,,True,8
qubits_n8,8,Greedy,0,0.95,,True,8
qubits_n8,8,Greedy,0,0.99,,True,8
qubits_n8,8,Greedy,1,0.95,,True,8
qubits_n8,8,Greedy,1,0.99,,True,8
qubits_n8,8,Greedy,2,0.95,,True,8
qubits_n8,8,Greedy,2,0.99,,True,8
qubits_n8,8,Greedy,3,0.95,,True,8
qubits_n8,8,Greedy,3,0.99,,True,8
qubits_n8,8,Greedy,4,0.95,,True,8
qubits_n8,8,Greedy,4,0.99,,True,8
qubits_n8,8,Greedy,5,0.95,,True,8
qubits_n8,8,Greedy,5,0.99,,True,8
qubits_n8,8,Greedy,6,0.95,,True,8
qubits_n8,8,Greedy,6,0.99,,True,8
qubits_n8,8,Greedy,7,0.95,,True,8
qubits_n8,8,Greedy,7,0.99,,True,8
qubits_n8,8,Greedy,8,0.95,,True,8
qubits_n8,8,Greedy,8,0.99,,True,8
qubits_n8,8,Greedy,9,0.95,,True,8
qubits_n8,8,Greedy,9,0.99,,True,8
qubits_n8,8,Greedy,10,0.95,,True,8
qubits_n8,8,Greedy,10,0.99,,True,8
qubits_n8,8,Greedy,11,0.95,,True,8
qubits_n8,8,Greedy,11,0.99,,True,8
qubits_n8,8,LLM-Open,0,0.95,,True,8
qubits_n8,8,LLM-Open,0,0.99,,True,8
qubits_n8,8,LLM-Open,1,0.95,,True,8
qubits_n8,8,LLM-Open,1,0.99,,True,8
qubits_n8,8,LLM-Open,2,0.95,,True,8
qubits_n8,8,LLM-Open,2,0.99,,True,8
qubits_n8,8,LLM-Open,3,0.95,,True,8
qubits_n8,8,LLM-Open,3,0.99,,True,8
qubits_n8,8,LLM-Open,4,0.95,,True,8
qubits_n8,8,LLM-Open,4,0.99,,True,8
qubits_n8,8,LLM-Open,5,0.95,,True,8
qubits_n8,8,LLM-Open,5,0.99,,True,8
qubits_n8,8,LLM-Open,6,0.95,,True,8
qubits_n8,8,LLM-Open,6,0.99,,True,8
qubits_n8,8,LLM-Open,7,0.95,,True,8
qubits_n8,8,LLM-Open,7,0.99,,True,8
qubits_n8,8,LLM-Open,8,0.95,,True,8
qubits_n8,8,LLM-Open,8,0.99,,True,8
qubits_n8,8,LLM-Open,9,0.95,,True,8
qubits_n8,8,LLM-Open,9,0.99,,True,8
qubits_n8,8,LLM-Open,10,0.95,,True,8
qubits_n8,8,LLM-Open,10,0.99,,True,8
qubits_n8,8,LLM-Open,11,0.95,,True,8
qubits_n8,8,LLM-Open,11,0.99,,True,8
qubits_n8,8,LLM-Closed,0,0.95,,True,8
qubits_n8,8,LLM-Closed,0,0.99,,True,8
qubits_n8,8,LLM-Closed,1,0.95,,True,8
qubits_n8,8,LLM-Closed,1,0.99,,True,8
qubits_n8,8,LLM-Closed,2,0.95,,True,8
qubits_n8,8,LLM-Closed,2,0.99,,True,8
qubits_n8,8,LLM-Closed,3,0.95,,True,8
qubits_n8,8,LLM-Closed,3,0.99,,True,8
qubits_n8,8,LLM-Closed,4,0.95,,True,8
qubits_n8,8,LLM-Closed,4,0.99,,True,8
qubits_n8,8,LLM-Closed,5,0.95,,True,8
qubits_n8,8,LLM-Closed,5,0.99,,True,8
qubits_n8,8,LLM-Closed,6,0.95,,True,8
qubits_n8,8,LLM-Closed,6,0.99,,True,8
qubits_n8,8,LLM-Closed,7,0.95,,True,8
qubits_n8,8,LLM-Closed,7,0.99,,True,8
qubits_n8,8,LLM-Closed,8,0.95,,True,8
qubits_n8,8,LLM-Closed,8,0.99,,True,8
qubits_n8,8,LLM-Closed,9,0.95,,True,8
qubits_n8,8,LLM-Closed,9,0.99,,True,8
qubits_n8,8,LLM-Closed,10,0.95,,True,8
qubits_n8,8,LLM-Closed,10,0.99,,True,8
qubits_n8,8,LLM-Closed,11,0.95,,True,8
qubits_n8,8,LLM-Closed,11,0.99,,True,8
hamiltonian_xxz,8,Random,0,0.95,,True,8
hamiltonian_xxz,8,Random,0,0.99,,True,8
hamiltonian_xxz,8,Random,1,0.95,,True,8
hamiltonian_xxz,8,Random,1,0.99,,True,8
hamiltonian_xxz,8,Random,2,0.95,,True,8
hamiltonian_xxz,8,Random,2,0.99,,True,8
hamiltonian_xxz,8,Random,3,0.95,,True,8
hamiltonian_xxz,8,Random,3,0.99,,True,8
hamiltonian_xxz,8,Random,4,0.95,2,False,
hamiltonian_xxz,8,Random,4,0.99,,True,8
hamiltonian_xxz,8,Random,5,0.95,,True,8
hamiltonian_xxz,8,Random,5,0.99,,True,8
hamiltonian_xxz,8,Random,6,0.95,,True,8
hamiltonian_xxz,8,Random,6,0.99,,True,8
hamiltonian_xxz,8,Random,7,0.95,,True,8
hamiltonian_xxz,8,Random,7,0.99,,True,8
hamiltonian_xxz,8,Random,8,0.95,,True,8
hamiltonian_xxz,8,Random,8,0.99,,True,8
hamiltonian_xxz,8,Random,9,0.95,4,False,
hamiltonian_xxz,8,Random,9,0.99,,True,8
hamiltonian_xxz,8,Random,10,0.95,,True,8
hamiltonian_xxz,8,Random,10,0.99,,True,8
hamiltonian_xxz,8,Random,11,0.95,,True,8
hamiltonian_xxz,8,Random,11,0.99,,True,8
hamiltonian_xxz,8,Greedy,0,0.95,,True,8
hamiltonian_xxz,8,Greedy,0,0.99,,True,8
hamiltonian_xxz,8,Greedy,1,0.95,,True,8
hamiltonian_xxz,8,Greedy,1,0.99,,True,8
hamiltonian_xxz,8,Greedy,2,0.95,,True,8
hamiltonian_xxz,8,Greedy,2,0.99,,True,8
hamiltonian_xxz,8,Greedy,3,0.95,,True,8
hamiltonian_xxz,8,Greedy,3,0.99,,True,8
hamiltonian_xxz,8,Greedy,4,0.95,1,False,
hamiltonian_xxz,8,Greedy,4,0.99,,True,8
hamiltonian_xxz,8,Greedy,5,0.95,,True,8
hamiltonian_xxz,8,Greedy,5,0.99,,True,8
hamiltonian_xxz,8,Greedy,6,0.95,,True,8
hamiltonian_xxz,8,Greedy,6,0.99,,True,8
hamiltonian_xxz,8,Greedy,7,0.95,4,False,
hamiltonian_xxz,8,Greedy,7,0.99,,True,8
hamiltonian_xxz,8,Greedy,8,0.95,,True,8
hamiltonian_xxz,8,Greedy,8,0.99,,True,8
hamiltonian_xxz,8,Greedy,9,0.95,,True,8
hamiltonian_xxz,8,Greedy,9,0.99,,True,8
hamiltonian_xxz,8,Greedy,10,0.95,,True,8
hamiltonian_xxz,8,Greedy,10,0.99,,True,8
hamiltonian_xxz,8,Greedy,11,0.95,3,False,
hamiltonian_xxz,8,Greedy,11,0.99,6,False,
hamiltonian_xxz,8,LLM-Open,0,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,0,0.99,,True,8
hamiltonian_xxz,8,LLM-Open,1,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,1,0.99,,True,8
hamiltonian_xxz,8,LLM-Open,2,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,2,0.99,,True,8
hamiltonian_xxz,8,LLM-Open,3,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,3,0.99,,True,8
hamiltonian_xxz,8,LLM-Open,4,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,4,0.99,,True,8
hamiltonian_xxz,8,LLM-Open,5,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,5,0.99,,True,8
hamiltonian_xxz,8,LLM-Open,6,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,6,0.99,,True,8
hamiltonian_xxz,8,LLM-Open,7,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,7,0.99,,True,8
hamiltonian_xxz,8,LLM-Open,8,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,8,0.99,,True,8
hamiltonian_xxz,8,LLM-Open,9,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,9,0.99,,True,8
hamiltonian_xxz,8,LLM-Open,10,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,10,0.99,,True,8
hamiltonian_xxz,8,LLM-Open,11,0.95,,True,8
hamiltonian_xxz,8,LLM-Open,11,0.99,,True,8
hamiltonian_xxz,8,LLM-Closed,0,0.95,2,False,
